selected_index,symbol,state,detail,price_history_rows,data_timestamp,provider,provider_error,avg_dollar_volume,market_cap,final_score
327,ICLR,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,155813183.68,11624452096.0,50.19
328,HOV,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,12544444.76361389,,
329,TRNR,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,5334.906785,,
330,MMYT,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,40902616.6,3892400896.0,23.69
331,RCMT,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,2048958.6566207886,,
332,BFST,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,5258921.382837772,,
333,FDP,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,18506023.758053303,,
334,BSVN,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,509218.79244384763,,
335,AIFU,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,547.1270000000001,,
336,YEXT,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,325626.37074999994,,
337,RRX,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,185747888.03,14199289856.0,61.51
338,BIPC,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,43910169.04,5065985536.0,47.08
339,ACHR,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,347746054.04,4058441472.0,13.43
340,EMAT,provider_partial,missing or insufficient price history after fallback,106,2026-06-09T00:00:00,yfinance,,,,
341,TDC,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,74854759.63,3149527040.0,68.58
342,PTLE,filtered_liquidity,fallback average dollar volume below minimum 20000000,412,2026-06-09T00:00:00,yfinance,,96463.75774269104,,
343,MTB,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,205880217.07,33013108736.0,80.58
344,ELTK,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,104997.02511167526,,
345,TNET,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,19291565.256227873,,
346,DYOR,provider_partial,missing or insufficient price history after fallback,139,2026-06-09T00:00:00,yfinance,,,,
347,HMH,provider_partial,missing or insufficient price history after fallback,48,2026-06-09T00:00:00,yfinance,,,,
348,IMRX,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,525604.78825,,
349,MIND,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,631838.6553002119,,
350,SPHL,filtered_liquidity,price below minimum 5.0,411,2026-06-09T04:00:00+00:00,alpaca,,38948.195,,
351,PFG,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,112431055.92,23039881216.0,80.04
352,RMIX,filtered_liquidity,average dollar volume below minimum 20000000,506,2026-06-09T04:00:00+00:00,alpaca,,305189.91524999996,,
353,IVR,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,17792884.25291753,,
354,FCEL,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,267445948.04,1182466944.0,31.95
355,BENF,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,671.86075,,
356,HTLD,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,9053348.08942337,,
357,LUD,filtered_liquidity,price below minimum 5.0,321,2026-06-08T04:00:00+00:00,alpaca,,3529.77425,,
358,BCSS,provider_partial,missing or insufficient price history after fallback,137,2026-06-09T00:00:00,yfinance,,,,
359,BBCQ,provider_partial,missing or insufficient price history after fallback,92,2026-06-09T00:00:00,yfinance,,,,
360,HIT,filtered_liquidity,price below minimum 5.0,364,2026-06-09T04:00:00+00:00,alpaca,,4116.282,,
361,GRMN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,171859987.68,45870850048.0,58.27
362,BEEP,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,2154.384,,
363,WING,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,177297014.64,3917675008.0,36.73
364,PPLI,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,48508484.66,3140640256.0,61.3
365,ZKIN,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,383.276,,
366,OPK,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,214380.2225,,
367,ONB,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,69151095.96,9381136384.0,80.76
368,RXT,filtered_liquidity,price below minimum 5.0,506,2026-06-09T04:00:00+00:00,alpaca,,3320629.6285,,
369,TRAX,provider_partial,missing or insufficient price history after fallback,46,2026-06-09T00:00:00,yfinance,,,,
370,ASAN,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,50591116.61,1789719424.0,36.27
371,PBM,filtered_liquidity,price below minimum 5.0,505,2026-06-08T04:00:00+00:00,alpaca,,1868.3005,,
372,IMO,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,72538123.97,59161378816.0,48.17
373,OPXS,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,568067.8811611176,,
374,HLX,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,14655140.031572914,,
375,SKYW,ranked,ranked and included in full_ranking.csv,501,2026-06-09T00:00:00,yfinance,,32089281.95,3481379328.0,51.72
376,TSBK,filtered_liquidity,fallback average dollar volume below minimum 20000000,501,2026-06-09T00:00:00,yfinance,,1033067.5391344071,,
